analysis_id,f1p0l1d97x079q1
mouse_life_stage,Early adult
gene_symbol,Ubxn11
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_accession_id,MGI:1914836
pvalue,1.432662
