analysis_id,174i3tlv419v974
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1920564
gene_symbol,Lrrc69
parameter_name,Ly6Clow monocyte number
mouse_strain,C56BL
pvalue,0.8331741
