parameter_name,Hindlimb nail - number
pvalue,0.7977139
parameter_id,IMPC_CSD_051_002
analysis_id,4xb55nb160e6si4
gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
mouse_strain,C57BL
