analysis_id,942ynosl157m133
gene_accession_id,MGI:1925049
mouse_strain,C57BL
pvalue,1.449669
parameter_name,Percent time in dark
mouse_life_stage,Early adult
gene_symbol,Sla2
parameter_id,JAX_LDT_008_001
