analysis_id,r6dqh5t8539d02a
mouse_life_stage,E12.5
pvalue,0.5724569
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
gene_accession_id,MGI:95835
gene_symbol,Hspa5
