parameter_name,Body length
parameter_id,IMPC_DXA_006_001
mouse_strain,C57BL
gene_symbol,Kifap3
analysis_id,uthl0m37m4ej615
gene_accession_id,MGI:107566
pvalue,0.5290487
mouse_life_stage,Early adult
