analysis_id,1r5a47ft46pgqq2
gene_symbol,Jun
mouse_life_stage,E15.5
gene_accession_id,MGI:96646
parameter_name,CV
pvalue,0.6188271
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
