analysis_id,zc3po37979c70bd
gene_symbol,Arpc5l
pvalue,0.7686256
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
gene_accession_id,MGI:1921442
parameter_name,Thyroxine
