analysis_id,ene364i17c9jhg4
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
parameter_id,IMPC_IMM_055_001
gene_symbol,Snap23
pvalue,0.9713965
