parameter_name,White blood cell count
mouse_life_stage,E12.5
pvalue,0.6421087
mouse_strain,C57BL
parameter_id,IMPC_HEM_001_001
gene_symbol,Bcs1l
analysis_id,o359089ri5i3y4t
gene_accession_id,MGI:1914071
