parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:1933159
mouse_strain,C57BL
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Rnf114
mouse_life_stage,Early adult
analysis_id,9ol2sy393sms9j9
pvalue,0.1895532
