analysis_id,07706um1m17y4ye
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_id,M-G-P_009_001_003
pvalue,0.3593849
parameter_name,Body weight
