parameter_name,Neutrophil cell count
gene_accession_id,MGI:1927379
analysis_id,7d3d2xxo5lejwyi
gene_symbol,Rhbg
parameter_id,IMPC_HEM_030_001
pvalue,0.7081101
mouse_life_stage,Early adult
mouse_strain,C57BL
