analysis_id,667x42o533f3791
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,MGP_PBI_002_001
pvalue,0.7957116
gene_symbol,Bmi1
parameter_name,Alpha beta T cell percentage
mouse_life_stage,E12.5
