gene_symbol,Fgb
parameter_name,B cell number
analysis_id,63csl4697r47k8q
mouse_life_stage,E15.5
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.2455073
