analysis_id,z122u8p6smage74
mouse_life_stage,Early adult
pvalue,0.7382512
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:2442483
gene_symbol,Usp37
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
