analysis_id,63jok22t3054214
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
pvalue,0.5755857
mouse_strain,C54BL
gene_accession_id,MGI:107566
parameter_id,JAX_LDT_005_001
