parameter_name,Startle response
gene_accession_id,MGI:1917604
mouse_strain,C57BL
pvalue,0.5676956
mouse_life_stage,Late adult
parameter_id,ESLIM_008_001_013
gene_symbol,Secisbp2l
analysis_id,37mzg684d1d8b4w
