gene_symbol,Ufc1
parameter_id,IMPC_IMM_052_001
pvalue,0.3504062
parameter_name,Eosinophils
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,5py5phhi7075r16
