analysis_id,jb39z039bd6589o
gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_id,IMPC_EYE_027_001
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
pvalue,0.064738
mouse_strain,C57BL
