gene_symbol,Ola1
pvalue,0.07527325
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
analysis_id,2gxi3s1868x0f4a
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
