gene_symbol,Tbl1xr1
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
analysis_id,656df9rnu894892
mouse_strain,C57BL
pvalue,0.5914846
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
