gene_symbol,Slc30a4
analysis_id,bx5x088r92g7270
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
mouse_life_stage,Late adult
pvalue,0.6870786
