analysis_id,190d80ujd365sq7
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1919949
pvalue,0.3074223
gene_symbol,Lime1
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
