analysis_id,73384ei68xf2381
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.1085032
parameter_id,MGP_IMM_007_001
gene_symbol,Lpgat1
