parameter_name,PP1 startle magnitude
mouse_strain,C57BL
gene_accession_id,MGI:1919107
analysis_id,s2405g69d1b8vyj
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_002
gene_symbol,Slc17a9
pvalue,0.6685048
