analysis_id,2c9v34fj23psx57
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:108072
parameter_name,Right total retinal thickness
pvalue,0.6123606
mouse_life_stage,Early adult
