analysis_id,8v2y0r4yg89i066
parameter_id,MGP_PBI_011_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
pvalue,0.4453334
gene_symbol,Nucks1
parameter_name,KLRG1+ mature NK cell percentage
