parameter_name,Eosinophil cell count
gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,IMPC_HEM_036_001
pvalue,0.9915224
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,xp6w0zabv50t05l
