mouse_life_stage,Early adult
gene_accession_id,MGI:1915889
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
gene_symbol,Smyd2
analysis_id,h1j1545wp49007i
mouse_strain,C57BL
pvalue,0.9085876
