parameter_id,CCP_XRY_001_001
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_name,Skull shape
analysis_id,7nf9ozr91799144
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.3632009
