analysis_id,h0un95cq2y2mv96
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
pvalue,0.3973169
mouse_strain,C55BL
gene_accession_id,MGI:1924360
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Gpbp1l1
