gene_symbol,Secisbp2l
pvalue,0.419496
gene_accession_id,MGI:1917604
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
mouse_life_stage,Middle aged adult
analysis_id,02mc9e3so9utgen
mouse_strain,C57BL
