parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
pvalue,0.5911812
parameter_id,JAX_OFD_020_001
analysis_id,43206n595g1sesp
