gene_symbol,Slc45a3
parameter_id,ESLIM_016_001_002
analysis_id,unv77941evpv060
parameter_name,Red blood cell count
gene_accession_id,MGI:1922082
pvalue,0.8258408
mouse_life_stage,Early adult
mouse_strain,C57BL
