parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:1918025
parameter_name,Lens Opacity
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.6362132
analysis_id,y5ux19j9mj7v486
mouse_strain,129SV
