parameter_name,Activity (body position)
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:1336200
analysis_id,223v37s71coqy32
pvalue,0.9118047
