analysis_id,80okr5hhr72p116
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,IMPC_HEM_008_001
pvalue,0.3763882
gene_accession_id,MGI:88328
mouse_strain,C57BL
parameter_name,Platelet count
