parameter_name,Femur
analysis_id,7072958ijh9u3f4
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.07114022
parameter_id,IMPC_XRY_024_001
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
