parameter_name,Liver weight
analysis_id,x04i8fa516i235g
pvalue,0.4862438
mouse_life_stage,Early adult
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:97838
