parameter_name,QT
analysis_id,s3z5d40gn856g15
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
pvalue,0.2380978
gene_symbol,Lpgat1
