analysis_id,rd81c1yhl5zwiz1
mouse_strain,C57BL
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
pvalue,0.7918058
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_life_stage,E9.5
