mouse_strain,C57BL
parameter_name,Alanine aminotransferase
gene_symbol,Pex19
pvalue,0.4606001
gene_accession_id,MGI:1334458
analysis_id,31fxa9itf27h6x1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
