analysis_id,s84ll11tinf34xp
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Tibia length
mouse_life_stage,Late adult
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.662028
