analysis_id,3atstb70q84g5g0
mouse_life_stage,Early adult
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
gene_symbol,Opn3
mouse_strain,C57BL
gene_accession_id,MGI:1338022
pvalue,0.8789056
