analysis_id,e5460kld51ye0h2
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.6236853
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
