gene_symbol,Sass6
mouse_life_stage,E12.5
pvalue,0.08089024
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1920026
mouse_strain,C57BL
parameter_name,Weight
analysis_id,55lrv5if5e62966
