analysis_id,9yly9wmdg4f0951
parameter_id,IMPC_DXA_009_001
gene_symbol,Slc30a4
pvalue,0.3138323
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,Fat/Body weight
