gene_symbol,Kdm4c
parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
analysis_id,1t0v95q3lt356tf
parameter_name,BMC/Body weight
pvalue,0.06900937
