analysis_id,a46tr6n97o5wzcy
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1918345
gene_symbol,Kif24
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8814781
parameter_id,MGP_IMM_027_001
