analysis_id,995f26380a9589b
pvalue,0.5204529
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
gene_symbol,Eprs1
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,E9.5
