analysis_id,04jfxt91dxf07p4
pvalue,0.1242021
gene_symbol,Mapkap1
mouse_life_stage,E12.5
parameter_name,Fat/Body weight
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:2444554
mouse_strain,C57BL
