analysis_id,y68f2u6l3430n98
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,MGP_IMM_066_001
mouse_strain,C57BL
pvalue,0.525797
parameter_name,CD11b-high cDC - % of cDC
