analysis_id,s95ri0mnep38mr9
pvalue,7.58947e-06
mouse_strain,C57BL
parameter_name,Tremor
gene_accession_id,MGI:1345282
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Late adult
gene_symbol,Slc30a4
