analysis_id,b4lgt46yz44pxt4
mouse_strain,C57BL
gene_accession_id,MGI:2670995
pvalue,0.4411816
parameter_name,Monocytes
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
gene_symbol,Trp53i11
