analysis_id,p437998p1m9155y
pvalue,0.988713
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
mouse_strain,C57BL
