analysis_id,407c22va07l250t
pvalue,0.2883857
gene_accession_id,MGI:99605
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
gene_symbol,Cntfr
