parameter_name,Eye
pvalue,0.7164494
gene_accession_id,MGI:1931749
analysis_id,im5u4eu35wi87cc
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
