analysis_id,jp06tf36u52w75c
parameter_name,Response amplitude - S
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
mouse_strain,C58BL
gene_accession_id,MGI:1922082
pvalue,0.3106257
