analysis_id,beqd0727209886m
parameter_id,IMPC_GEO_064_001
parameter_name,Edema
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7869697
gene_accession_id,MGI:1914583
gene_symbol,Stk35
