analysis_id,k3q448z15szyfmd
pvalue,0.878761
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,129SV
gene_symbol,Cds2
parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
