parameter_name,Distance travelled - total
gene_symbol,Pum1
mouse_strain,C57BL
analysis_id,d9778705mv99238
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
pvalue,0.6186449
