analysis_id,d528216iqq94124
gene_symbol,Slx4ip
parameter_name,Total NK cells - % of CD45+
pvalue,0.9483278
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
