analysis_id,228q24we3389243
mouse_strain,C57BL
pvalue,0.9733456
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
mouse_life_stage,E9.5
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
